cust_id,first_name,last_name,gender,phone,address,city,state,date_created,CustomerAge,ticket_id,ticket_no,cost,trip_id,trip_no,depart_datetime,station_id_depart,arrive_datetime,station_id_arrive,train_name,train_id,class_id,class_name
16,Bethel,Schamberger,f,952.457.2603,98809 Lueilwitz Village,East Imogene,Pennsylvania,2022-05-20 17:33,9,23,mnqpesr1gb,5,23,1887046990,2020-05-07 5:50,Port Corlissville,2020-05-07 12:50,Bufordport,Plato,1,2,Silver
17,Lottie,Abshire,f,680-004-8947,4777 Reid Points,Gutmannchester,West Virginia,2022-05-20 17:33,61,24,l1fkxm0hfy,38,24,5045041610,2021-03-29 18:20,East Monty,2021-03-30 11:20,North Deweychester,Epicurus,6,1,Bronze
18,Eldridge,Raynor,f,331.107.9358,54088 Medhurst Spring,North Tandy,South Carolina,2022-05-20 17:33,47,25,ajthrntaua,80,25,2566776911,2022-05-09 12:20,South Lela,2022-05-10 4:20,South Belvaton,Gorgias,11,1,Bronze
19,Cindi,Doyle,f,353-452-1449,3640 Ferry Shores,East Shemekaville,Delaware,2022-05-20 17:33,69,26,qfgcbpdgo8,22,26,4451956303,2021-10-19 7:00,Donnellyborough,2021-10-20 5:00,Lake Myron,Anaxagoras,12,2,Silver
19,Cindi,Doyle,f,353-452-1449,3640 Ferry Shores,East Shemekaville,Delaware,2022-05-20 17:33,69,27,ny3rit86p5,22,27,9807971824,2020-09-24 2:17,Davisland,2020-09-24 16:17,Creminbury,Anaxagoras,12,1,Bronze
20,Anibal,Bahringer,m,564.130.2816,9710 Theresia Mews,Morissettefort,Pennsylvania,2022-05-20 17:33,31,28,yf7snclam2,44,28,4455799201,2020-07-07 1:58,Marcoburgh,2020-07-07 6:58,New Josh,Thucydides,13,1,Bronze
21,Dagny,Torp,f,(494) 139-9378,7229 Humberto Flats,Port Vena,North Dakota,2022-05-20 17:33,91,29,0yo7s1xcpx,42,29,8718020965,2020-04-22 21:50,Lake Mitchell,2020-04-23 16:50,Lake Carl,Democritus,14,2,Silver
22,Carmela,Klein,m,(751) 440-7174,8976 Toy Valley,Alview,Idaho,2022-05-20 17:33,48,30,zubvnhrvib,95,30,5392341410,2020-08-11 13:10,Reichelmouth,2020-08-11 19:10,Jeromyport,Proclus,15,2,Silver
22,Carmela,Klein,m,(751) 440-7174,8976 Toy Valley,Alview,Idaho,2022-05-20 17:33,48,31,htcl9ot3cr,57,31,8967473757,2021-10-17 18:00,Jonathanshire,2021-10-18 3:00,Hellerhaven,Proclus,15,3,Gold
23,Karl,Kuhic,m,1-387-021-7017,84444 Cathryn Court,Sylviafurt,Missouri,2022-05-20 17:33,62,32,qyatodfjsd,27,32,2780252367,2021-12-04 1:43,East Stacyton,2021-12-04 12:43,West Kathleenland,Antisthenes,8,3,Gold
24,Jerome,Feeney,m,1-852-608-8376,8242 Durgan Radial,South Wernermouth,New Jersey,2022-05-20 17:33,48,33,wfya4rouip,62,33,6070131497,2020-04-05 1:21,North Reiko,2020-04-05 6:21,Kutchbury,Parmenides,9,1,Bronze
25,Roxy,Langosh,m,1-149-138-8305,200 Strosin Village,Gertrudebury,Maine,2022-05-20 17:33,63,34,o0u3stkost,56,34,8603822722,2020-03-06 7:11,Haagville,2020-03-07 7:11,Hirtheburgh,Galen,7,1,Bronze
26,Teri,Thiel,f,209.231.8439,129 Langworth Junctions,Mayerton,Michigan,2022-05-20 17:33,16,35,zjn8fqlj4e,23,35,2771276199,2020-12-16 4:52,North Jarrettberg,2020-12-16 9:52,Port Stephenie,Heraclitus,3,2,Silver
27,Laila,Cummerata,m,250.067.8434,82017 Gloria Fords,Bernierstad,Hawaii,2022-05-20 17:33,81,36,wsvro5lne5,82,36,9774118236,2021-10-02 1:24,DuBuqueview,2021-10-02 23:24,Lake Tomokoport,Anaxagoras,12,3,Gold
28,Brady,Crona,f,680.864.3299,140 Sal Village,Garlandtown,Arkansas,2022-05-20 17:33,9,37,fbyxzrpqzx,74,37,4792673898,2020-10-24 8:17,Lake Angelo,2020-10-25 4:17,Lake Everett,Hippocrates,16,3,Gold
29,Dexter,Vandervort,m,(738) 274-7181,65580 Smith Views,Kesslermouth,Maryland,2022-05-20 17:33,20,38,msx05z4vhj,16,38,1155821519,2022-04-30 6:44,Lueburgh,2022-04-30 17:44,Lake Londaville,Parmenides,9,1,Bronze
30,Jamaal,Bashirian,f,354.156.0291,312 Fae Row,New Susanne,New Mexico,2022-05-20 17:33,89,39,kq6rfvgnl2,62,39,6047911545,2022-03-03 13:06,Sonnyborough,2022-03-03 23:06,Dinoland,Parmenides,9,2,Silver
30,Jamaal,Bashirian,f,354.156.0291,312 Fae Row,New Susanne,New Mexico,2022-05-20 17:33,89,40,pv2ep3b9be,97,40,1614938595,2021-05-19 4:03,West Germaine,2021-05-19 9:03,Chandrashire,Parmenides,9,3,Gold
31,Myong,Stroman,f,1-401-682-2506,63442 Kendrick Ridges,Warnerland,Michigan,2022-05-20 17:33,18,41,jeughcrd21,23,41,5098153137,2021-08-03 4:07,Shannonside,2021-08-03 21:07,Reillyshire,Zeno of Elea,17,2,Silver
32,Chong,Kuhlman,m,1-790-842-4339,22068 Carmelita Landing,Rueckerberg,Kansas,2022-05-20 17:33,34,42,vopidxdafd,82,42,9153752024,2020-06-30 23:40,West Barbieton,2020-07-01 5:40,North Margarete,Epicurus,6,3,Gold
33,Cory,Sanford,f,900-820-7961,51749 Roob Shore,North Ranae,New Hampshire,2022-05-20 17:33,55,43,ihuru9u4oh,58,43,9351169600,2020-10-10 7:37,Sarimouth,2020-10-10 12:37,South Donamouth,Gorgias,11,3,Gold
33,Cory,Sanford,f,900-820-7961,51749 Roob Shore,North Ranae,New Hampshire,2022-05-20 17:33,55,44,cjxhqqlufq,34,44,5090628365,2021-01-18 21:03,Kevinfort,2021-01-19 14:03,Binsburgh,Gorgias,11,3,Gold
34,Edgardo,Batz,m,1-472-243-0115,157 Kate Lake,North Erichburgh,Washington,2022-05-20 17:33,92,45,v86cuvbell,86,45,5031800874,2021-06-09 22:29,South Jefferson,2021-06-10 10:29,Lake Rozanne,Proclus,15,2,Silver
35,Dania,Marks,m,(464) 415-0002,83481 Keeling Underpass,East Leida,Kentucky,2022-05-20 17:33,75,46,wq3ggplqms,58,46,5020352188,2020-12-05 7:12,Braunfurt,2020-12-06 2:12,Cliffordburgh,Solon,5,2,Silver
35,Dania,Marks,m,(464) 415-0002,83481 Keeling Underpass,East Leida,Kentucky,2022-05-20 17:33,75,47,i24yu8ptac,17,47,2986962491,2022-01-12 10:28,West Chad,2022-01-13 2:28,Wilkinsonbury,Solon,5,2,Silver
36,Sondra,Trantow,m,219-754-1084,51131 Pfeffer Lakes,Glovermouth,Pennsylvania,2022-05-20 17:33,1,48,l2shvz8rfr,8,48,2856792332,2021-05-21 4:42,North Lamar,2021-05-22 3:42,Micahview,Plato,1,2,Silver
36,Sondra,Trantow,m,219-754-1084,51131 Pfeffer Lakes,Glovermouth,Pennsylvania,2022-05-20 17:33,1,49,h51dmceta9,87,49,3424196394,2020-10-11 23:18,Carinaside,2020-10-12 16:18,Vanitaton,Plato,1,2,Silver
37,Tawana,Torp,m,207-778-9655,2694 Schoen Drive,Port Miquel,South Carolina,2022-05-20 17:33,90,50,3oiuubb50p,59,50,6432146231,2020-04-07 4:10,Binsmouth,2020-04-08 1:10,South Numbersfurt,Zeno of Elea,17,3,Gold
37,Tawana,Torp,m,207-778-9655,2694 Schoen Drive,Port Miquel,South Carolina,2022-05-20 17:33,90,51,crq7h9niik,9,51,9508630976,2020-06-29 19:45,North Royce,2020-06-30 3:45,Vikiview,Zeno of Elea,17,2,Silver
38,Sylvester,Abshire,m,(436) 904-5758,65400 Myrtis Ways,North Billystad,Oklahoma,2022-05-20 17:33,17,52,8xwqn2jfi0,96,52,2736502283,2021-10-01 15:48,Lake Leighannchester,2021-10-02 15:48,East Jannaland,Thucydides,13,2,Silver
39,Caren,Schroeder,m,(837) 542-8464,9623 Geoffrey Rue,Lake Ferdinand,West Virginia,2022-05-20 17:33,78,53,4ju93b603d,1,53,3910797802,2020-11-28 22:43,Greggchester,2020-11-29 6:43,Mohrstad,Parmenides,9,2,Silver
39,Caren,Schroeder,m,(837) 542-8464,9623 Geoffrey Rue,Lake Ferdinand,West Virginia,2022-05-20 17:33,78,54,ygzp4sap6b,91,54,3224085490,2021-09-27 15:28,New Teraland,2021-09-27 18:28,Millstown,Parmenides,9,1,Bronze
40,Davida,Huel,f,(163) 692-0791,44364 Thiel Gardens,Ziemeside,Connecticut,2022-05-20 17:33,80,55,o3sbd2ph5x,10,55,6311248685,2022-03-21 10:07,Kalaport,2022-03-21 12:07,Vandervortberg,Galen,7,3,Gold
41,Clark,Walker,m,(795) 984-6827,141 Terry Summit,New Adolphshire,North Dakota,2022-05-20 17:33,72,56,3bbzwk36de,84,56,7048553476,2022-01-03 15:31,Tammyport,2022-01-04 0:31,North Jenniferhaven,Anaxagoras,12,2,Silver
41,Clark,Walker,m,(795) 984-6827,141 Terry Summit,New Adolphshire,North Dakota,2022-05-20 17:33,72,57,zk5c6issu0,64,57,8965973797,2021-07-11 17:34,DuBuqueborough,2021-07-12 6:34,Murphyview,Anaxagoras,12,3,Gold
42,Shawnee,Haley,m,176.461.5284,3917 Borer Shores,Groverfurt,Idaho,2022-05-20 17:33,4,58,ptttlmwbi8,78,58,1011980358,2021-01-20 2:14,South Beatris,2021-01-21 2:14,Susiemouth,Proclus,15,1,Bronze
43,Garth,Reilly,f,(563) 440-6362,734 Valentin Lakes,Whiteberg,Alabama,2022-05-20 17:33,34,59,2c2izoaucg,79,59,8809759502,2020-05-26 3:00,Mitchelltown,2020-05-26 16:00,Wisokyburgh,Plato,1,2,Silver
44,Rebbeca,Medhurst,f,522.151.4614,416 Johnson Springs,North Lorenland,Pennsylvania,2022-05-20 17:33,64,60,plixhr0y0t,96,60,1854520529,2020-11-18 7:20,Bartonville,2020-11-19 6:20,East Eldachester,Chrysippus,4,2,Silver
44,Rebbeca,Medhurst,f,522.151.4614,416 Johnson Springs,North Lorenland,Pennsylvania,2022-05-20 17:33,64,61,eo8lkfbkwt,61,61,6233208740,2021-05-10 10:47,Port Cora,2021-05-10 19:47,Farrellhaven,Chrysippus,4,3,Gold
45,Lala,O'Kon,f,1-281-663-6545,8673 Wiley Passage,West Shane,Utah,2022-05-20 17:33,11,62,onkahnbwwj,60,62,6777694970,2020-07-15 5:39,North Elmo,2020-07-15 22:39,East Ignacia,Arcesilaus,18,3,Gold
45,Lala,O'Kon,f,1-281-663-6545,8673 Wiley Passage,West Shane,Utah,2022-05-20 17:33,11,63,4fybrjdwgl,6,63,8365600455,2021-02-11 17:32,Weissnatbury,2021-02-12 8:32,Port Pattown,Arcesilaus,18,1,Bronze
46,Marquerite,Cummerata,f,113.937.4360,899 Russel Crest,Port Benedict,South Dakota,2022-05-20 17:33,42,64,o7jlmlfr4u,53,64,8510335389,2021-04-02 12:44,North Dewey,2021-04-02 19:44,Schimmelfurt,Pythagoras,19,1,Bronze
47,Crystal,Romaguera,f,(748) 790-0190,35137 MacGyver Roads,South Valentinfurt,Delaware,2022-05-20 17:33,46,65,yvqnc4xlqe,2,65,5507238309,2020-11-11 19:20,Lake Delindatown,2020-11-12 4:20,Brekkeburgh,Solon,5,3,Gold
48,Isaiah,Dickinson,m,718-199-3596,8503 Bernier Fields,New Donitaton,Nebraska,2022-05-20 17:33,54,66,a8myink4a6,47,66,3036569017,2020-09-06 11:55,South Antioneshire,2020-09-07 11:55,Takishaborough,Zeno of Elea,17,2,Silver
49,Billie,Cartwright,f,(100) 083-0015,54975 Kerri Trace,Champlinport,Hawaii,2022-05-20 17:33,95,67,fq0yc9i6mt,24,67,9737569714,2021-09-13 1:12,Naderhaven,2021-09-13 4:12,Port Alonzo,Arcesilaus,18,3,Gold
50,Azalee,Huels,f,864-023-4458,691 Beau Mission,East Carmen,Kansas,2022-05-20 17:33,65,68,rrrk6brvxb,35,68,1146753986,2020-03-24 22:05,Port Kaitlin,2020-03-25 13:05,Marksside,Antisthenes,8,3,Gold
50,Azalee,Huels,f,864-023-4458,691 Beau Mission,East Carmen,Kansas,2022-05-20 17:33,65,69,3ewigtrv2v,26,69,5550787594,2022-02-18 16:56,Port Codyton,2022-02-18 21:56,Darlenestad,Antisthenes,8,2,Silver
51,Sona,Klein,f,1-754-710-5538,87395 Dwight Springs,Willmshaven,Missouri,2022-05-20 17:33,13,70,9yurzoz0bx,66,70,9931155697,2020-03-21 5:05,Billyview,2020-03-21 7:05,Rohanmouth,Zeno of Elea,17,1,Bronze
52,Christoper,Cummerata,m,(610) 895-8903,813 Clark Grove,Hellerton,Kansas,2022-05-20 17:33,12,71,vr76qqmvh1,99,71,9039706080,2020-10-20 14:18,Lake Veniceshire,2020-10-20 15:18,South Jenniferchester,Heraclitus,3,1,Bronze
52,Christoper,Cummerata,m,(610) 895-8903,813 Clark Grove,Hellerton,Kansas,2022-05-20 17:33,12,72,rfzek2ysgn,87,72,2522981274,2021-07-07 9:08,Robelland,2021-07-07 22:08,Port Robinville,Heraclitus,3,3,Gold
53,Felica,Hegmann,m,139-842-7242,3493 Fredericka Crossroad,New Nona,Maine,2022-05-20 17:33,53,73,wbx32hvwpn,15,73,4648089662,2021-06-06 22:35,Floydfort,2021-06-06 23:35,Kovacekmouth,Gorgias,11,1,Bronze
54,Homer,Wiegand,f,1-100-860-4283,2517 Angla Wells,Ashleyborough,New Hampshire,2022-05-20 17:33,52,74,nnms6vupju,53,74,5456954154,2021-07-17 11:55,North Landon,2021-07-17 12:55,South Linda,Hippocrates,16,2,Silver
54,Homer,Wiegand,f,1-100-860-4283,2517 Angla Wells,Ashleyborough,New Hampshire,2022-05-20 17:33,52,75,qyrieig4oi,22,75,9861841899,2021-08-22 10:56,East Dorthea,2021-08-23 2:56,West Genevie,Hippocrates,16,2,Silver
55,Maryjo,Cremin,f,137-748-3161,96484 Sung Ferry,Harlandport,New Jersey,2022-05-20 17:33,7,76,88v0ftqvsi,73,76,1872155965,2020-11-06 4:00,Elishaview,2020-11-06 22:00,Tadmouth,Galen,7,1,Bronze
56,Xavier,Renner,f,485-042-5093,165 Lebsack Burgs,Jacobsonview,Wyoming,2022-05-20 17:33,94,77,rlfjr1inav,9,77,4201059409,2021-11-08 1:20,Eleanoremouth,2021-11-08 10:20,Donnyton,Pythagoras,19,1,Bronze
57,Aaron,Marquardt,f,180.995.9879,336 Moises Crest,Lake Mildredbury,North Dakota,2022-05-20 17:33,90,78,ygymbc9mls,18,78,3544695463,2020-08-16 5:19,Keeblerchester,2020-08-16 20:19,Edisonshire,Plutarch,2,2,Silver
57,Aaron,Marquardt,f,180.995.9879,336 Moises Crest,Lake Mildredbury,North Dakota,2022-05-20 17:33,90,79,5zmnsybne5,58,79,2828244574,2022-02-16 10:30,Hoegershire,2022-02-16 14:30,North Albertstad,Plutarch,2,3,Gold
58,Vallie,Kilback,m,1-104-540-9129,169 Jarred Extensions,Katherinahaven,New Hampshire,2022-05-20 17:33,25,80,ktm33lp0d3,61,80,4885646417,2020-05-20 18:38,North Mosesborough,2020-05-21 1:38,Hahnville,Anaxagoras,12,3,Gold
58,Vallie,Kilback,m,1-104-540-9129,169 Jarred Extensions,Katherinahaven,New Hampshire,2022-05-20 17:33,25,81,tpmjtqj9gd,49,81,2483967023,2020-03-06 5:57,Shalandaborough,2020-03-06 6:57,McKenzieport,Anaxagoras,12,3,Gold
59,Mirna,Wuckert,f,1-355-101-9110,2727 Maggio Camp,Boyerview,Iowa,2022-05-20 17:33,29,82,hxdomqdmdf,12,82,7000680197,2021-02-28 8:30,Sidfort,2021-02-28 19:30,West Marci,Arcesilaus,18,2,Silver
59,Mirna,Wuckert,f,1-355-101-9110,2727 Maggio Camp,Boyerview,Iowa,2022-05-20 17:33,29,83,mdbfqkacb0,65,83,1450263890,2021-07-07 14:36,Scottieview,2021-07-07 18:36,Stewartmouth,Arcesilaus,18,2,Silver
60,Jacques,Donnelly,m,1-338-930-8336,27065 Gigi Fall,Chasitystad,Massachusetts,2022-05-20 17:33,11,84,q55qkhapwd,32,84,8421291274,2020-10-01 11:59,Port Burton,2020-10-02 4:59,McDermottside,Proclus,15,1,Bronze
60,Jacques,Donnelly,m,1-338-930-8336,27065 Gigi Fall,Chasitystad,Massachusetts,2022-05-20 17:33,11,85,slzk0bqenr,84,85,2769727569,2021-09-21 6:16,Denesikville,2021-09-21 18:16,Nuville,Proclus,15,1,Bronze
61,Loretta,Olson,f,431.120.6394,89332 Schmeler Mission,New Lesaborough,Vermont,2022-05-20 17:33,67,86,1ju364jwrr,12,86,8756154045,2021-06-23 14:31,South Lorrie,2021-06-23 21:31,Padbergchester,Parmenides,9,3,Gold
61,Loretta,Olson,f,431.120.6394,89332 Schmeler Mission,New Lesaborough,Vermont,2022-05-20 17:33,67,87,kooewty64s,99,87,7309525307,2022-01-13 16:00,East Faustobury,2022-01-13 17:00,Ondrickaburgh,Parmenides,9,3,Gold
62,Santiago,Larson,m,1-656-103-4720,192 Eldon Extension,South Glaydshaven,West Virginia,2022-05-20 17:33,1,88,6dfwljxf4l,75,88,2366769241,2022-01-29 1:22,Port Jeffry,2022-01-29 14:22,Deangelostad,Anaxagoras,12,2,Silver
62,Santiago,Larson,m,1-656-103-4720,192 Eldon Extension,South Glaydshaven,West Virginia,2022-05-20 17:33,1,89,lzqfjh8d3c,45,89,3692220609,2021-09-19 16:33,Dwightside,2021-09-20 11:33,South Chantalshire,Anaxagoras,12,1,Bronze
63,Chantal,Lubowitz,m,(955) 589-7749,6619 Connelly Streets,Sandyshire,Tennessee,2022-05-20 17:33,3,90,rt51huospj,35,90,3632822215,2021-09-27 23:14,Hermistonview,2021-09-28 19:14,South Hiroko,Parmenides,9,3,Gold
64,Eda,Grimes,f,688.982.9811,382 Steuber Lodge,Larsonchester,New York,2022-05-20 17:33,72,91,2vonbstkfw,62,91,6146232029,2021-01-08 15:01,Port Harriettestad,2021-01-09 10:01,Bufordberg,Solon,5,1,Bronze
64,Eda,Grimes,f,688.982.9811,382 Steuber Lodge,Larsonchester,New York,2022-05-20 17:33,72,92,wz34bfggme,83,92,7515740511,2021-12-12 5:42,Wilfredofort,2021-12-12 20:42,Louannchester,Solon,5,3,Gold
65,Magaret,Kassulke,m,1-764-250-1630,721 Tod Ridges,Emileberg,Idaho,2022-05-20 17:33,94,93,mq9a95kjfp,76,93,5349181519,2021-12-11 8:34,North Logantown,2021-12-11 20:34,Irvinville,Heraclitus,3,1,Bronze
65,Magaret,Kassulke,m,1-764-250-1630,721 Tod Ridges,Emileberg,Idaho,2022-05-20 17:33,94,94,38bau2bvbt,86,94,7203443790,2020-10-29 6:24,South Kraig,2020-10-29 14:24,North Gabriel,Heraclitus,3,3,Gold
66,Loan,Langosh,f,(511) 937-4686,2689 Medhurst Views,North Arnoldview,Florida,2022-05-20 17:33,33,95,kk40wzmn8g,38,95,4534663104,2021-02-25 14:57,Katherineborough,2021-02-26 8:57,Hamillshire,Arcesilaus,18,3,Gold
67,Fredda,Howe,f,(484) 247-3055,45776 Ziemann Village,West Carol,Rhode Island,2022-05-20 17:33,41,96,sblbc9fsq4,62,96,9726803735,2022-03-24 4:53,Johniebury,2022-03-25 3:53,Lake Cristen,Antisthenes,8,2,Silver
67,Fredda,Howe,f,(484) 247-3055,45776 Ziemann Village,West Carol,Rhode Island,2022-05-20 17:33,41,97,jc5oflxb0r,32,97,7739158143,2021-04-03 8:40,South Moises,2021-04-03 16:40,East Paolaberg,Antisthenes,8,2,Silver
68,Ariel,Hand,f,1-333-036-2337,52395 Larkin Harbor,Adolfoport,Kentucky,2022-05-20 17:33,96,98,mlpo2tk76j,7,98,4011743379,2020-01-05 8:19,East Georgetta,2020-01-05 15:19,West Domenic,Posidonius,20,2,Silver
69,Dion,Watsica,m,430-629-3288,873 Ritchie Lights,Boscotown,New Mexico,2022-05-20 17:33,22,99,yxvk0o3xzm,97,99,3877025649,2021-01-27 16:45,New Willardmouth,2021-01-28 15:45,Spencerburgh,Parmenides,9,2,Silver
70,Lacy,Swift,f,(947) 445-3447,78926 Flo Shore,South Williamsberg,Alabama,2022-05-20 17:33,29,100,xmfbfn09ke,85,100,1551169099,2022-04-21 11:52,Luciushaven,2022-04-22 3:52,Spencerton,Galen,7,2,Silver
71,Drew,Witting,m,491.912.5337,53929 Pandora Mount,Streichfurt,California,2022-05-20 17:33,47,101,idsz2y4g08,74,101,6655403837,2022-03-05 18:18,Port Lynn,2022-03-06 15:18,North Tynisha,Archimedes,21,1,Bronze
71,Drew,Witting,m,491.912.5337,53929 Pandora Mount,Streichfurt,California,2022-05-20 17:33,47,102,jjbd1a8nae,47,102,7913348963,2020-04-01 2:57,Tamiton,2020-04-02 1:57,East Karleenshire,Archimedes,21,1,Bronze
72,Adelia,Koelpin,f,1-743-222-7367,407 Cummings Circle,East Olen,Tennessee,2022-05-20 17:33,57,103,jmx3gjauyf,42,103,6542071568,2021-11-18 11:55,Osinskiside,2021-11-19 3:55,Wolffville,Archimedes,21,3,Gold
73,Rocky,Emmerich,f,816.049.6406,965 Borer Brooks,East Lorenport,North Dakota,2022-05-20 17:33,64,104,i1hzvfrt7v,28,104,2717944466,2021-12-27 19:00,Homenickfort,2021-12-27 20:00,McClureport,Parmenides,9,3,Gold
74,Roberta,Conn,f,(604) 768-4138,15291 Joe Hill,East Stewart,Virginia,2022-05-20 17:33,44,105,fuqbwramt1,54,105,5896179140,2022-01-28 2:13,South Changfort,2022-01-28 16:13,Zadastad,Epicurus,6,2,Silver
74,Roberta,Conn,f,(604) 768-4138,15291 Joe Hill,East Stewart,Virginia,2022-05-20 17:33,44,106,mirami9thd,35,106,6313620900,2022-01-25 5:38,South Leonshire,2022-01-26 5:38,New Analisa,Epicurus,6,1,Bronze
